Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;IVA no Recuperable;97036000-K;Santander - Chile;54468554;28/01/2026;28/01/2026 23:32:46;;0;16356;;3109;9;19465;;;;;0;;;;0;;;;
2;33;IVA no Recuperable;76182815-0;Comercializadora jal Ltda.;9501;09/01/2026;09/01/2026 10:48:30;;0;67218;;12771;9;79989;;;;;0;;;;0;;;;
